Maximum of Subsidiary Legal Name,Maximum of Name,Document Number,Date,Maximum of Due Date/Receive By,Period,Type,Maximum of Department,Maximum of Amount,Maximum of Amount Paid,Status,Maximum of Memo (Main),Maximum of Date Closed
"Nexus Data Centers, LLC","WHR Group, Inc.",INVND260005-1,5/11/2026,,May 2026,Bill,Corporate : Workforce,"150,000.00 ","150,000.00 ",Paid In Full,,5/12/2026
"Nexus Data Centers, LLC",Matthew C McDaniel,MCM-2026-001,5/11/2026,5/11/2026,May 2026,Bill,Corporate : Accounting,"21,791.79 ","21,791.79 ",Paid In Full,"April 23, 2026 – May 8, 2026",5/26/2026
"Nexus Data Centers, LLC",EY,US01U002159985,5/11/2026,5/11/2026,May 2026,Bill,Corporate : Accounting,"50,750.00 ","50,750.00 ",Paid In Full,,6/23/2026
"Nexus Data Centers, LLC",Venara LLC,VEN-002,5/11/2026,5/26/2026,May 2026,Bill,Corporate : Workforce,"50,000.00 ","50,000.00 ",Paid In Full,Recruitment Fee - Insurance Manager,5/26/2026
"Nexus Data Centers, LLC","May Business Co, LLC",02-1004,5/12/2026,5/29/2026,May 2026,Bill,Corporate : Workforce,"3,500.00 ","3,500.00 ",Paid In Full,,5/28/2026
"Nexus Land Holdings, LLC",HUBBARD FARM AND RANCH LLC,1015,5/12/2026,5/12/2026,May 2026,Bill,Infrastructure : Site Services - Infra,600.00 ,600.00 ,Paid In Full,,5/15/2026
Nexus Data Centers Hubbard LLC,CorePhase Enterprises LLC,2026-SOASA-001-01-R1,5/12/2026,6/1/2026,May 2026,Bill,Development : Project Management : Project Management Procore,"7,500,000.00 ","7,500,000.00 ",Paid In Full,First Installment Payment,6/4/2026
Nexus Data Centers Hubbard LLC,CorePhase Enterprises LLC,2026-SOASA-001-01-R2,5/12/2026,6/30/2026,May 2026,Bill,Development : Project Management : Project Management Procore,"22,500,000.00 ","22,500,000.00 ",Paid In Full,Final Payment,7/30/2026
"Nexus Hubbard Power, LLC",Primoris Energy Service Corporation,50259001-5,5/12/2026,6/11/2026,May 2026,Bill,Development : Construction : Construction Procore,"5,383,459.12 ","5,383,459.12 ",Paid In Full,Contract: 50259-001,6/11/2026
"Nexus Land Holdings, LLC",Champion Energy Services,Champion-05/12/26,5/12/2026,5/27/2026,May 2026,Bill,Infrastructure : Utilities - Infra,94.17 ,94.17 ,Paid In Full,May Payments,5/12/2026
"Nexus Apex Holdings, LLC","Terracon Consultants, Inc.",TQ67078,5/12/2026,6/11/2026,Apr 2026,Bill,Development : Engineering : Engineering Procore,"70,500.00 ","70,500.00 ",Paid In Full,Period for 3/29/26 - 5/1/26,6/11/2026
"Nexus Apex Holdings, LLC",Tellepsen Builders LP,Tellpsen - 03/2026,5/12/2026,,May 2026,Bill,Development : Construction : Construction Procore,"2,440,264.82 ","2,440,264.82 ",Paid In Full,"Mobilization of Batch Plant - LNTP 1/30/26, executed contract 3/25/26",5/12/2026
"Nexus Data Centers, LLC",Rise Furniture Procurement,00000022,5/13/2026,5/13/2026,May 2026,Bill,Corporate : HQ / Office,"15,000.00 ","15,000.00 ",Paid In Full,Furniture Selection & Specification,5/15/2026
"Nexus Data Centers, LLC",Butler Snow LLP,10526992,5/13/2026,5/14/2026,May 2026,Bill,Corporate : Legal,"2,241.00 ","2,241.00 ",Paid In Full,April Accrual,5/15/2026
"Nexus Apex Holdings, LLC","Orrick, Herrington & Sutcliffe LLP",2370947,5/13/2026,5/13/2026,May 2026,Bill,Corporate : Finance,"130,000.00 ","130,000.00 ",Paid In Full,Professional services related to the $20mm Tranche A upsize,5/15/2026
"Nexus Apex Holdings, LLC",Marsh USA LLC,801027571588,5/13/2026,6/29/2026,May 2026,Bill,Operations : Insurance,"193,218.89 ","193,218.89 ",Paid In Full,Cargo,6/26/2026
"Nexus Data Centers, LLC",Business Branders LLC,9961,5/13/2026,6/12/2026,May 2026,Bill,Corporate : Marketing / Branding,"2,906.37 ","2,906.37 ",Paid In Full,May - Branded Apparel,6/12/2026
"Nexus Data Centers, LLC",Business Branders LLC,9962,5/13/2026,6/12/2026,May 2026,Bill,Corporate : Marketing / Branding,"3,114.62 ","3,114.62 ",Paid In Full,May - Branded,6/12/2026
"Nexus Data Centers, LLC",Business Branders LLC,9963,5/13/2026,6/12/2026,May 2026,Bill,Corporate : Marketing / Branding,"3,562.25 ","3,562.25 ",Paid In Full,May - Branded Apparel,6/12/2026
"Nexus Hubbard Power, LLC","Haynes and Boone, LLP",21763798,5/14/2026,,May 2026,Bill,Corporate : Legal,"12,748.00 ","12,748.00 ",Paid In Full,Legal fees move to Apex,6/12/2026
Nexus Data Centers Hubbard LLC,EUTAW Construction Company Inc.,26011-04,5/14/2026,6/13/2026,May 2026,Bill,Development : Construction : Construction Procore,"14,554,111.51 ","14,554,111.51 ",Paid In Full,Work completed through 4/30/26,6/22/2026
Nexus Data Centers Hubbard LLC,"Bluebeam, Inc.",2843933,5/14/2026,6/13/2026,May 2026,Bill,Corporate : IT : Services / License,"1,407.12 ","1,407.12 ",Paid In Full,"Licenses – Sahib Ali, Amro Alhourani, John Lee, Nick Jones",6/12/2026
"Nexus Data Centers, LLC",Texas Elite Graphics & Signs,41772,5/14/2026,6/13/2026,May 2026,Bill,Corporate : Marketing / Branding,151.55 ,151.55 ,Paid In Full,May - Marketing Signage,6/12/2026
"Nexus Land Holdings, LLC",TXU Energy (AutoPay),5/14/26,5/14/2026,5/14/2026,May 2026,Bill,Infrastructure : Utilities - Infra,35.10 ,35.10 ,Paid In Full,May Payments,5/14/2026
"Nexus Apex Holdings, LLC",Promoveo Group LLC,0515,5/15/2026,5/15/2026,May 2026,Bill,Development : Consulting : Consulting Gen,"37,350.00 ","37,350.00 ",Paid In Full,,6/5/2026
"Nexus Land Holdings, LLC","1212 Property Services, LLC",1006,5/15/2026,5/30/2026,May 2026,Bill,Infrastructure : Site Services - Infra,"1,751.50 ","1,751.50 ",Paid In Full,May services,5/29/2026
"Nexus Apex Holdings, LLC",Texas Mutual Insurance,1008093824,5/15/2026,6/6/2026,May 2026,Bill,Development : Insurance,"28,306.00 ","28,306.00 ",Paid In Full,"Initial Premium, Installment Down Payment",6/5/2026
"Nexus Data Centers, LLC",Ruca LLC,3161,5/15/2026,6/14/2026,May 2026,Bill,Corporate : Marketing / Branding,"12,210.00 ","12,210.00 ",Paid In Full,Website Design and Development (Pre-bill),6/12/2026
"Nexus Hubbard Power, LLC","Industrial Project Innovation, LLC",Nexus-009,5/15/2026,6/14/2026,May 2026,Bill,Development : Project Management : Project Management Procore,"1,117,347.87 ","1,117,347.87 ",Paid In Full,April 2026 - Integration Support,6/12/2026
"Nexus Apex Holdings, LLC","EXP Energy Services, Inc.",04202612,5/18/2026,5/18/2026,May 2026,Bill,Development : Regulatory : Regulatory Procore,"10,075.25 ","10,075.25 ",Paid In Full,"March 28 - April 24, received in May",5/29/2026
Nexus Data Centers Hubbard LLC,"HDR Engineering, Inc.",1200817791,5/18/2026,6/17/2026,Mar 2026,Bill,Development : Engineering : Engineering Procore,"207,454.67 ","207,454.67 ",Paid In Full,22-FEB-2026 To: 28-MAR-2026 (Inv date = Procore Submission),6/12/2026
"Nexus Apex Holdings, LLC",ERM,399902,5/18/2026,6/18/2026,May 2026,Bill,Corporate : Finance,"61,847.80 ","61,847.80 ",Paid In Full,"Professional Services rendered through May 02, 2026",6/23/2026
"Nexus Data Centers, LLC",Texas Elite Graphics & Signs,41775,5/18/2026,6/17/2026,May 2026,Bill,Corporate : Marketing / Branding,"6,711.50 ","6,711.50 ",Paid In Full,Marketing Signage,6/12/2026
"Nexus Apex Holdings, LLC",Tellepsen Builders LP,50684,5/18/2026,6/8/2026,May 2026,Bill,Development : Construction : Construction Procore,"4,644,520.12 ","4,644,520.12 ",Paid In Full,"April Invoice - Mobilization of Batch Plant - LNTP 1/30/26, executed contract 3/25/26",6/5/2026
"Nexus Land Holdings, LLC",Navasota Valley Electric (Auto Pay),Nav05/18/26,5/18/2026,5/18/2026,May 2026,Bill,Infrastructure : Utilities - Infra,224.53 ,224.53 ,Paid In Full,May Payments,5/18/2026
"Nexus Apex Holdings, LLC","UMB Bank, N.A.",1049016,5/19/2026,5/19/2026,May 2026,Bill,Corporate : Finance,"6,500.00 ","6,500.00 ",Paid In Full,"April 1, 2026 through March 31, 2027",5/29/2026
"Nexus Data Centers, LLC","UMB Bank, N.A.",1049016NA,5/19/2026,5/19/2026,May 2026,Bill,Corporate : Finance,"6,500.00 ",0.00 ,Rejected,"April 1, 2026 through March 31, 2027",
"Nexus Apex Holdings, LLC",HUBBARD FARM AND RANCH LLC,13301,5/19/2026,6/6/2026,May 2026,Bill,Infrastructure : Site Services - Infra,"2,165.00 ","2,165.00 ",Paid In Full,NEXUS ALPHA BORROWER LLC,5/27/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,26100,5/19/2026,6/19/2026,May 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"9,533,524.50 ","9,533,524.50 ",Paid In Full,May invoice - 30% progress payment,6/22/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,26101,5/19/2026,5/29/2026,May 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"6,510,829.51 ","6,510,829.51 ",Paid In Full,IES - Long Lead Electrical - HB2 Bus,5/28/2026
"Nexus Data Centers, LLC","SPT LNR Property TRS, LLC",35336303-9030,5/19/2026,5/19/2026,May 2026,Bill,Corporate : Corporate,"20,000.00 ","20,000.00 ",Paid In Full,,5/20/2026
"Nexus Land Holdings, LLC",Rachel Massey,6,5/19/2026,6/1/2026,May 2026,Bill,Infrastructure : Residential Improvements - Infra,"1,320.00 ","1,320.00 ",Paid In Full,paid via check 1065,5/20/2026
"Nexus Hubbard Power, LLC",Everllence USA INC,6803644,5/19/2026,6/2/2026,May 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"458,896.00 ","458,896.00 ",Paid In Full,Equipment Supply Contract  5306425- body of contract (9/26/2025) - 13 units and change order,5/29/2026
"Nexus Land Holdings, LLC",Luisa V Savage,#6,5/20/2026,5/22/2026,May 2026,Bill,Infrastructure : Site Services - Infra,"1,668.94 ","1,668.94 ",Paid In Full,May services,5/27/2026
"Nexus Data Centers, LLC",Rise Furniture Procurement,00000023,5/20/2026,5/20/2026,May 2026,Bill,Corporate : HQ / Office,"330,000.00 ","330,000.00 ",Paid In Full,Furniture Purchasing Services,5/26/2026
"Nexus Land Holdings, LLC",HUBBARD FARM AND RANCH LLC,1020,5/20/2026,5/20/2026,May 2026,Bill,Infrastructure : Site Services - Infra,"1,080.00 ","1,080.00 ",Paid In Full,May 2026,5/29/2026
"Nexus Apex Holdings, LLC",WR Utilities & Excavation,1113,5/20/2026,5/22/2026,May 2026,Bill,Operations : Utilities : Utilities Procore,"500,000.00 ","500,000.00 ",Paid In Full,Mobilization Payment for Construction of Berm for Site,5/22/2026
"Nexus Land Holdings, LLC",HUBBARD FARM AND RANCH LLC,13321,5/20/2026,5/20/2026,May 2026,Bill,Infrastructure : Site Services - Infra,60.04 ,60.04 ,Paid In Full,,5/27/2026
"Nexus Land Holdings, LLC",HUBBARD FARM AND RANCH LLC,13323,5/20/2026,5/20/2026,May 2026,Bill,Infrastructure : Site Services - Infra,16.23 ,16.23 ,Paid In Full,,5/27/2026
"Nexus Land Holdings, LLC",HUBBARD FARM AND RANCH LLC,13325,5/20/2026,5/20/2026,May 2026,Bill,Infrastructure : Site Services - Infra,43.50 ,43.50 ,Paid In Full,,5/27/2026
"Nexus Data Centers, LLC",PwC US Tax LLP,208A 187860,5/20/2026,6/19/2026,May 2026,Bill,Corporate : Accounting,"45,583.00 ","45,583.00 ",Paid In Full,"April 1, 2026 through April 30, 2026",6/23/2026
"Nexus Data Centers, LLC",Datamation Technologies,4812,5/20/2026,5/30/2026,May 2026,Bill,Corporate : IT : Assets,"4,163.30 ","4,163.30 ",Paid In Full,May,5/28/2026
"Nexus Land Holdings, LLC","Roger A. Soape, Inc.",4862rev,5/20/2026,5/20/2026,May 2026,Bill,Infrastructure : Legal - Infra,"10,052.68 ","10,052.68 ",Paid In Full,61430 General & Administrative : Personnel & SG&A : Contractors and Professional Services : Professional Fees - Other,5/29/2026
Nexus Data Centers Hubbard LLC,W.G. Yates & Sons Construction Company,5302601-02,5/20/2026,6/4/2026,Apr 2026,Bill,Development : Construction : Construction Procore,"19,438,143.29 ","18,209,114.82 ",Paid In Full,April Services,5/29/2026
"Nexus Data Centers, LLC",Business Branders LLC,9975,5/20/2026,6/19/2026,May 2026,Bill,Corporate : Marketing / Branding,"2,421.71 ","2,421.71 ",Paid In Full,Various branded items - May,6/23/2026
"Nexus Apex Holdings, LLC",EquipmentShare.com Inc,EQS INV 189392-04-26-08,5/20/2026,6/19/2026,May 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"407,578.23 ","407,578.23 ",Paid In Full,Equipment Rentals - March-May,6/23/2026
"Nexus Data Centers, LLC",Duvera Consulting LLC,260504,5/21/2026,6/5/2026,May 2026,Bill,Corporate : Workforce,"66,000.00 ","66,000.00 ",Paid In Full,Recruiting fees for start up staffing,6/5/2026
"Nexus Hubbard Power, LLC",Creatum Solar LLC,260521_001,5/21/2026,6/20/2026,May 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"185,202.50 ","185,202.50 ",Paid In Full,"Professional Services Agreement Contract Signed on February, 11th 2026",6/23/2026
"Nexus Data Centers, LLC",Arcus Advisors LLC,3388,5/21/2026,5/21/2026,May 2026,Bill,Corporate : Accounting,"57,700.00 ","57,700.00 ",Paid In Full,Consulting General and ERP April 6th  to Dec,7/24/2026
"Nexus Apex Holdings, LLC",Black & Veatch,6717676,5/21/2026,6/20/2026,May 2026,Bill,Corporate : Finance,"46,000.00 ","46,000.00 ",Paid In Full,,6/23/2026
"Nexus Apex Holdings, LLC",EquipmentShare.com Inc,6937902-002,5/21/2026,6/20/2026,May 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"268,474.07 ","268,474.07 ",Paid In Full,"First down payment invoice for BZI Triple Wide 6937902,  Medical Double Wide 6937922,  Safety Single  Wide 6937940 to start production of units",6/23/2026
"Nexus Land Holdings, LLC",Earnest Richardson,900,5/21/2026,6/2/2026,May 2026,Bill,Infrastructure : Residential Improvements - Infra,"3,500.00 ","3,500.00 ",Paid In Full,Paid via check 1066,5/21/2026
Nexus Data Centers Hubbard LLC,Carrier Corporation,910364753,5/21/2026,8/1/2026,May 2026,Bill,Development : Construction : Construction Procore,"15,915,900.00 ","15,915,900.00 ",Paid In Full,30% Milestone - 70 Mobile Chillers,7/30/2026
Nexus Data Centers Hubbard LLC,Building Zones Industries (BZI),BZI-5040-1 R1,5/21/2026,6/11/2026,May 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"1,244,875.00 ","1,244,875.00 ",Paid In Full,PERIOD: 03/01/26 - 03/31/26,6/5/2026
"Nexus Apex Holdings, LLC",Tinsley Drilling & Company Inc,G702-TIN-2,5/21/2026,6/20/2026,May 2026,Bill,Development : Construction : Construction Procore,"2,510,450.00 ","2,510,450.00 ",Paid In Full,DRILLING PHASE INVOICE,6/23/2026
"Nexus Hubbard Power, LLC",WTG Gas Transmission,LNTP#2,5/21/2026,5/21/2026,May 2026,Bill,Operations : Gas : Gas Gen,"10,918,520.00 ","10,918,520.00 ",Paid In Full,Phase??,5/21/2026
"Nexus Hubbard Power, LLC","Industrial Project Innovation, LLC",Nexus-010,5/21/2026,6/20/2026,May 2026,Bill,Development : Project Management : Project Management Procore,"1,100,000.00 ","1,100,000.00 ",Paid In Full,May 2026 - Pre-Bill,6/23/2026
"Nexus Apex Holdings, LLC",Audio Video Solutions Texas LLC,1112,5/22/2026,5/22/2026,May 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"13,449.99 ","13,449.99 ",Paid In Full,75% of Proposal Total - Due Upon Proposal Acceptance,6/5/2026
Nexus Data Centers Hubbard LLC,CorePhase Enterprises LLC,2025-NEX-001-006,5/22/2026,6/1/2026,May 2026,Bill,Development : Project Management : Project Management Procore,"2,661,097.00 ","2,661,097.00 ",Paid In Full,Base Fee pmt 1,6/5/2026
"Nexus Land Holdings, LLC",American Craftsmen,2313,5/22/2026,5/22/2026,May 2026,Bill,Infrastructure : Residential Improvements - Infra,"6,021.80 ","6,021.80 ",Paid In Full,HUB-20 labor and materials 7/23/26,6/12/2026
"Nexus Land Holdings, LLC",American Craftsmen,2314,5/22/2026,5/22/2026,May 2026,Bill,Infrastructure : Residential Improvements - Infra,"3,252.25 ","3,252.25 ",Paid In Full,Supply band install,6/12/2026
"Nexus Hubbard Power, LLC",Creatum Solar LLC,260522_002,5/22/2026,6/21/2026,May 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"900,000.00 ","900,000.00 ",Paid In Full,30% Milestone payment for Control Building,6/23/2026
"Nexus Data Centers, LLC",Texas Elite Graphics & Signs,41821,5/22/2026,6/21/2026,May 2026,Bill,Corporate : Marketing / Branding,649.50 ,649.50 ,Paid In Full,May,6/23/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,26149,5/25/2026,6/24/2026,May 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"16,854,247.08 ","16,854,247.08 ",Paid In Full,"Change Order covering PO’s 1006, 1007, 1010, and 1013",6/25/2026
"Nexus Land Holdings, LLC",Texas Golf Karts,40412,5/25/2026,6/24/2026,May 2026,Bill,Corporate : Marketing / Branding,"1,614.38 ","1,614.38 ",Paid In Full,"HUBBARD RODEO  MAY 22ND-24TH, 2026",6/26/2026
"Nexus Land Holdings, LLC",Love and Thunder Apiary LLC,000010,5/26/2026,5/26/2026,May 2026,Bill,Infrastructure : Site Services - Infra,562.90 ,562.90 ,Paid In Full,May service,5/29/2026
"Nexus Land Holdings, LLC",Love and Thunder Apiary LLC,000011,5/26/2026,6/10/2026,May 2026,Bill,Infrastructure : Site Services - Infra,"3,474.82 ","3,474.82 ",Paid In Full,"Service date May 8, 2026",6/5/2026
"Nexus Data Centers, LLC",Marcela M Resenos,2,5/26/2026,6/15/2026,May 2026,Bill,Corporate : Corporate,"10,500.00 ","10,500.00 ",Paid In Full,May,6/12/2026
"Nexus Data Centers, LLC",Holland & Knight LLP,33951605,5/26/2026,5/26/2026,May 2026,Bill,Corporate : Legal,"1,462.50 ","1,462.50 ",Paid In Full,April services,5/28/2026
"Nexus Data Centers, LLC","Ultera, llc",562,5/26/2026,6/10/2026,May 2026,Bill,Corporate : Workforce,"41,000.00 ","41,000.00 ",Paid In Full,Recruiting fees for start-up staffing,6/5/2026
"Nexus Land Holdings, LLC",Earnest Richardson,900-2,5/26/2026,6/9/2026,May 2026,Bill,Infrastructure : Residential Improvements - Infra,"4,450.00 ","4,450.00 ",Paid In Full,paid via check 1079,6/3/2026
"Nexus Data Centers, LLC",Venara LLC,VEN-003,5/26/2026,6/10/2026,May 2026,Bill,Corporate : Workforce,"55,000.00 ","55,000.00 ",Paid In Full,May,6/5/2026
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",165167,5/27/2026,7/3/2026,May 2026,Bill,Development : Engineering : Engineering Procore,"66,187.65 ","66,187.65 ",Paid In Full,Nexus High Voltage Conceptual Design,7/6/2026
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",165168,5/27/2026,7/3/2026,May 2026,Bill,Development : Engineering : Engineering Procore,"44,924.00 ","44,924.00 ",Paid In Full,Nexus OHL Detail Design,7/6/2026
"Nexus Data Centers, LLC",wework,202600001873,5/27/2026,5/27/2026,May 2026,Bill,Corporate : HQ / Office,"3,170.00 ","3,170.00 ",Paid In Full,Member Service Retainer for Office 03A144,5/29/2026
"Nexus Data Centers, LLC",wework,202600001874,5/27/2026,5/27/2026,May 2026,Bill,Corporate : HQ / Office,409.03 ,409.03 ,Paid In Full,Membership fee  5/28 - 5/31,5/29/2026
"Nexus Apex Holdings, LLC",Total Office Solutions,20742,5/27/2026,5/27/2026,May 2026,Bill,Development : Project Management : Project Management Procore,"402,606.65 ","402,606.65 ",Paid In Full,50% deposit for site office furniture to be ordered,6/4/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,26180,5/27/2026,6/26/2026,May 2026,Bill,Development : Asset Procurement : Asset Procurement Procore,"3,989,888.95 ","3,989,888.95 ",Paid In Full,Progress Payment,6/26/2026
"Nexus Apex Holdings, LLC",Global Foodcraft,27211,5/27/2026,6/27/2026,May 2026,Bill,Development : Construction : Construction Gen,"102,695.95 ","102,695.95 ",Paid In Full,Safety Lunch,6/26/2026
"Nexus Data Centers, LLC",Datamation Technologies,4813,5/27/2026,6/6/2026,May 2026,Bill,Corporate : IT : Assets,"25,820.08 ","25,820.08 ",Paid In Full,May,6/5/2026
"Nexus Data Centers, LLC",NextWave Partners USA Inc,CINV2661-000011,5/27/2026,6/26/2026,May 2026,Bill,Corporate : Workforce,"46,000.00 ","46,000.00 ",Paid In Full,May invoice - recruiting fees,6/26/2026
"Nexus Data Centers, LLC",NextWave Partners USA Inc,CINV2661-000012,5/27/2026,6/26/2026,May 2026,Bill,Corporate : Workforce,"40,000.00 ","40,000.00 ",Paid In Full,May invoice - recruiting fees,6/26/2026
Nexus Data Centers Hubbard LLC,"HDR Engineering, Inc.",1200327173,5/28/2026,6/27/2026,Apr 2026,Bill,Development : Engineering : Engineering Procore,"1,158,658.80 ","1,158,658.80 ",Paid In Full,16-Apr-2026 To:    2-May-2026,6/26/2026
Nexus Data Centers Hubbard LLC,"HDR Engineering, Inc.",1200827169,5/28/2026,6/27/2026,Apr 2026,Bill,Development : Engineering : Engineering Procore,"5,496.84 ","5,496.84 ",Paid In Full,From: 29-MAR-2026 To: 02-MAY-2026,6/26/2026
Nexus Data Centers Hubbard LLC,"HDR Engineering, Inc.",1200827174,5/28/2026,6/27/2026,Apr 2026,Bill,Development : Engineering : Engineering Procore,"353,606.80 ","353,606.80 ",Paid In Full,26-Mar-2026 To:   2-May-2026,6/26/2026
Nexus Data Centers Hubbard LLC,"HDR Engineering, Inc.",1200827176,5/28/2026,6/27/2026,May 2026,Bill,Development : Engineering : Engineering Procore,"1,082,296.80 ","1,082,296.80 ",Paid In Full,Services 9-Mar-2026 To:   2-May-2026,6/26/2026
"Nexus Apex Holdings, LLC",Allied Universal Security Service,18549646,5/28/2026,6/27/2026,May 2026,Bill,Operations : O&M : O&M Procore,"122,756.42 ","122,756.42 ",Paid In Full,5/1 - 5/28,7/10/2026
"Nexus Hubbard Power, LLC",Source Blue LLC,SBL-2026-03,5/28/2026,6/27/2026,May 2026,Bill,Development : Project Management : Project Management Procore,"95,870,077.16 ","95,870,077.16 ",Paid In Full,May Billing,6/26/2026
"Nexus Data Centers, LLC",Robert Havlick,2026-05-001,5/29/2026,6/13/2026,May 2026,Bill,Corporate : Workforce,"14,674.54 ","14,674.54 ",Paid In Full,5/11/26 - 5/31/26,6/23/2026
"Nexus Apex Holdings, LLC",Global Foodcraft,27251,5/29/2026,6/29/2026,May 2026,Bill,Development : Site Services : Site Services Gen,"22,189.21 ","22,189.21 ",Paid In Full,Tent Rental Extension,6/26/2026
"Nexus Data Centers, LLC",Ruca LLC,3179,5/29/2026,6/28/2026,May 2026,Bill,Corporate : Marketing / Branding,"5,000.00 ","5,000.00 ",Paid In Full,Website Design and Developmen,6/26/2026
"Nexus Data Centers, LLC","SPT LNR Property TRS, LLC",35336303-9030-2,5/29/2026,5/29/2026,May 2026,Bill,Corporate : Marketing / Branding,"99,850.00 ","99,850.00 ",Paid In Full,full cancellation amount,7/31/2026
"Nexus Apex Holdings, LLC",Commonwealth Land Title Insurance Company,400991NA,5/29/2026,5/29/2026,May 2026,Bill,Corporate : Finance,"1,233,504.60 ","1,233,504.60 ",Paid In Full,Loan Policy Coverage docs,6/1/2026
"Nexus Data Centers, LLC",Houston Limo Chauffeur LLC,659,5/29/2026,5/29/2026,May 2026,Bill,Corporate : Corporate,"1,424.27 ","1,424.27 ",Paid In Full,Executives Car Services,6/5/2026
"Nexus Data Centers, LLC",Capitol Corporate Services,9703550,5/29/2026,5/29/2026,May 2026,Bill,Corporate : Legal,"3,315.02 ","3,315.02 ",Paid In Full,Registered Agent Services 04/26-03/27,6/26/2026
"Nexus Land Holdings, LLC",Post Oak Special Utility District,PostOak052026,5/29/2026,5/29/2026,May 2026,Bill,Infrastructure : Utilities - Infra,553.18 ,553.18 ,Paid In Full,May 2026,6/12/2026
"Nexus Land Holdings, LLC",Love and Thunder Apiary LLC,000012,5/31/2026,6/1/2026,May 2026,Bill,Infrastructure : Site Services - Infra,468.14 ,468.14 ,Paid In Full,"Service date May 28, 2026",6/5/2026
"Nexus Land Holdings, LLC",Love and Thunder Apiary LLC,000015,5/31/2026,6/3/2026,May 2026,Bill,Infrastructure : Site Services - Infra,520.16 ,520.16 ,Paid In Full,"Service date June 3, 2026",6/5/2026
"Nexus Data Centers, LLC",Heart of Texas Cowgirls,06/18/2026,5/31/2026,6/18/2026,May 2026,Bill,Corporate : Marketing / Branding,"4,000.00 ","4,000.00 ",Paid In Full,Investor Day,6/26/2026
"Nexus Land Holdings, LLC","1212 Property Services, LLC",1008,5/31/2026,6/15/2026,May 2026,Bill,Infrastructure : Site Services - Infra,"3,503.00 ","3,503.00 ",Paid In Full,Lawn care,6/12/2026
"Nexus Land Holdings, LLC","Trapp Law Firm, PC",1173,5/31/2026,6/30/2026,May 2026,Bill,Infrastructure : Acquisition costs - Infra,"14,917.50 ","14,917.50 ",Paid In Full,May - Land Acquisition - Legal Fees,7/6/2026
Nexus Bastion Holdings LLC,"Trapp Law Firm, PC",1176,5/31/2026,6/30/2026,May 2026,Bill,Infrastructure : Acquisition costs - Infra,"5,377.50 ","5,377.50 ",Paid In Full,May invoice - Bastion LandCo - see JE1482 for adj,7/6/2026
"Nexus Data Centers, LLC","Michael Hoops, Attorney at Law, PLLC",253,5/31/2026,6/30/2026,May 2026,Bill,Corporate : Legal,"3,500.00 ","3,500.00 ",Paid In Full,Michael Hoops - Flat Rate,7/6/2026
"Nexus Land Holdings, LLC",Luisa V Savage,7,5/31/2026,6/30/2026,May 2026,Bill,Infrastructure : Site Services - Infra,"2,633.16 ","2,633.16 ",Paid In Full,,6/12/2026
"Nexus Data Centers, LLC",Business Branders LLC,9990,5/31/2026,6/30/2026,May 2026,Bill,Corporate : Marketing / Branding,"9,338.47 ","9,338.47 ",Paid In Full,Various Branded Items - May,7/6/2026
"Nexus Hubbard Power, LLC",NAES Corporation,NAES-IN000037823,5/31/2026,6/30/2026,May 2026,Bill,Operations : O&M : O&M Procore,"56,731.25 ","56,731.25 ",Paid In Full,O&M: March - April,6/26/2026
"Nexus Land Holdings, LLC",HUBBARD FARM AND RANCH LLC,13733,6/1/2026,6/1/2026,Jun 2026,Bill,Infrastructure : Site Services - Infra,24.84 ,24.84 ,Paid In Full,HUBBARD FARM AND RANCH Purchases,6/5/2026
"Nexus Apex Holdings, LLC",Post Oak Special Utility District,1709284000.6.1.2026,6/1/2026,6/16/2026,Jun 2026,Bill,Operations : Utilities : Utilities Gen,"8,547.00 ","8,547.00 ",Paid In Full,Commercial From 4/28/2026 T? 5/29/2026,6/11/2026
"Nexus Apex Holdings, LLC",Post Oak Special Utility District,1709776179.6.1.2026,6/1/2026,6/16/2026,Jun 2026,Bill,Operations : Utilities : Utilities Gen,"6,890.00 ","6,890.00 ",Paid In Full,[Commercial] From 4/28/2026 TO 5/29/2026,6/11/2026
"Nexus Data Centers, LLC",wework,202600002079,6/1/2026,6/1/2026,Jun 2026,Bill,Corporate : HQ / Office,"25,627.86 ","25,627.86 ",Paid In Full,June Rent,6/3/2026
