Maximum of Subsidiary Legal Name,Maximum of Name,Document Number,Date,Maximum of Due Date/Receive By,Period,Type,Maximum of Department,Maximum of Amount,Maximum of Amount Paid,Status,Maximum of Memo (Main),Maximum of Date Closed
"Nexus Land Holdings, LLC",Post Oak Special Utility District,379HCR3379,4/30/2026,4/30/2026,Apr-26,Bill,Infrastructure : Utilities - Infra,408.77,408.77,Paid In Full,,5/15/2026
"Nexus Land Holdings, LLC",Post Oak Special Utility District,440SH171,4/30/2026,5/16/2026,Apr-26,Bill,Infrastructure : Utilities - Infra,389.11,389.11,Paid In Full,,5/15/2026
"Nexus Land Holdings, LLC","AirGas USA, LLC",5524509259,4/30/2026,5/30/2026,Apr-26,Bill,Infrastructure : Utilities - Infra,7.94,7.94,Paid In Full,,5/27/2026
"Nexus Land Holdings, LLC",Post Oak Special Utility District,568SH171,4/30/2026,5/16/2026,Apr-26,Bill,Infrastructure : Utilities - Infra,969.43,969.43,Paid In Full,,5/15/2026
"Nexus Hubbard Power, LLC",NAES Corporation,CONS-000004127,4/30/2026,5/30/2026,Apr-26,Bill,Operations : O&M : O&M Procore,71649.75,71649.75,Paid In Full,,5/29/2026
"Nexus Data Centers, LLC",wework,2.026E+11,5/1/2026,5/1/2026,May-26,Bill,Corporate : HQ / Office,11880,11880,Paid In Full,May Austin Rent,5/13/2026
Nexus Data Centers Hubbard LLC,"Bluebeam, Inc.",2821749,5/1/2026,5/31/2026,May-26,Bill,Corporate : IT : Services / License,703.56,703.56,Paid In Full,"Blue Beam Licenses - Allan Jacobs, Conner Rivard",5/28/2026
"Nexus Land Holdings, LLC",ONPOINT Transactions LLC,3845,5/1/2026,5/1/2026,May-26,Bill,Infrastructure : Acquisition costs - Infra,13000,13000,Paid In Full,April Apex,5/11/2026
"Nexus Data Centers, LLC",ONPOINT Transactions LLC,3846,5/1/2026,5/1/2026,May-26,Bill,Infrastructure : Acquisition costs - Infra,4500,4500,Paid In Full,April Services,5/15/2026
Nexus Bastion Holdings LLC,ONPOINT Transactions LLC,3846NA,5/1/2026,5/1/2026,May-26,Bill,Infrastructure : Acquisition costs - Infra,4500,0,Rejected,,
"Nexus Apex Holdings, LLC",Post Oak Special Utility District,4709283200,5/1/2026,5/16/2026,May-26,Bill,Operations : Utilities : Utilities Procore,10647.69,10647.69,Paid In Full,3/16/26 - 4/28/26,5/15/2026
"Nexus Apex Holdings, LLC",Post Oak Special Utility District,4709284000,5/1/2026,5/16/2026,May-26,Bill,Operations : Utilities : Utilities Procore,8572,8572,Paid In Full,3/16/26 - 4/28/26,5/15/2026
"Nexus Apex Holdings, LLC",Post Oak Special Utility District,4709776479,5/1/2026,5/16/2026,May-26,Bill,Operations : Utilities : Utilities Procore,6915,6915,Paid In Full,3/25/26 - 4/28/26,5/15/2026
"Nexus Data Centers, LLC",Regus Corporation,7970-1424,5/1/2026,5/15/2026,May-26,Bill,Corporate : HQ / Office,17995.96,0,Pending Approval,June Rent,
Nexus Data Centers Hubbard LLC,Kwant,2026-068,5/2/2026,6/2/2026,May-26,Bill,Development : Site Services : Site Services Gen,31888.63,0,Pending Approval,,
"Nexus Land Holdings, LLC",Serna Serrvices,#18516,5/4/2026,5/4/2026,May-26,Bill,Infrastructure : Site Services - Infra,1062.5,1062.5,Paid In Full,,5/11/2026
"Nexus Apex Holdings, LLC",AFCO Credit Corporation,1180688-05042026,5/4/2026,5/23/2026,May-26,Bill,Corporate : Finance,4763888.04,0,Pending Approval,,
"Nexus Hubbard Power, LLC",Source Blue LLC,260184,5/4/2026,6/4/2026,May-26,Bill,Development : Asset Procurement : Asset Procurement Procore,47402466.46,47402466.46,Paid In Full,,6/4/2026
"Nexus Data Centers, LLC",Datamation Technologies,4797,5/4/2026,5/14/2026,May-26,Bill,Corporate : IT : Assets,7302.55,7302.55,Paid In Full,Hardware purchases,5/15/2026
"Nexus Data Centers, LLC",Datamation Technologies,4798,5/4/2026,5/14/2026,May-26,Bill,Corporate : IT : Assets,3464,3464,Paid In Full,Hardware purchases,5/15/2026
"Nexus Data Centers, LLC",Datamation Technologies,4799,5/4/2026,5/14/2026,May-26,Bill,Corporate : IT : Assets,4622.28,4622.28,Paid In Full,Hardware purchases,5/15/2026
"Nexus Data Centers, LLC",Datamation Technologies,4800,5/4/2026,5/14/2026,May-26,Bill,Corporate : IT : Assets,996.79,996.79,Paid In Full,Hardware purchases,5/15/2026
"Nexus Data Centers, LLC",Datamation Technologies,4801,5/4/2026,5/14/2026,May-26,Bill,Corporate : IT : Assets,25170.58,25170.58,Paid In Full,Hardware purchases,5/15/2026
"Nexus Data Centers, LLC",Datamation Technologies,4802,5/4/2026,5/14/2026,May-26,Bill,Corporate : IT : Services / License,22831.25,22831.25,Paid In Full,"Managed IT Services (M365, General IT, Project Services)",5/15/2026
"Nexus Data Centers, LLC",Datamation Technologies,4803,5/4/2026,5/14/2026,May-26,Bill,Corporate : IT : Services / License,25243.75,25243.75,Paid In Full,"Managed IT Services (M365, General IT, Project Services)",5/15/2026
"Nexus Land Holdings, LLC",Luisa V Savage,#5,5/5/2026,5/5/2026,May-26,Bill,Infrastructure : Site Services - Infra,2222.1,2222.1,Paid In Full,Invoice # 5 April 15- April 30 2026,5/11/2026
"Nexus Hubbard Power, LLC","Exp U.S. Services, Inc.",164565,5/5/2026,6/5/2026,May-26,Bill,Development : Engineering : Engineering Procore,534676.67,534676.67,Paid In Full,"Professional Services Through April 24, 2026",6/5/2026
"Nexus Data Centers, LLC",Datasite LLC,INV-927381,5/5/2026,6/4/2026,May-26,Bill,Corporate : Finance,66412.26,66412.26,Paid In Full,01-Apr-26 to 30-Apr-26,6/5/2026
"Nexus Land Holdings, LLC",Love and Thunder Apiary LLC,#000007,5/6/2026,5/21/2026,May-26,Bill,Infrastructure : Site Services - Infra,703.62,703.62,Paid In Full,,5/15/2026
Nexus Data Centers Hubbard LLC,"HDR Engineering, Inc.",1200820821,5/6/2026,6/5/2026,May-26,Bill,Development : Engineering : Engineering Procore,250000,250000,Paid In Full,mobilization payment - From:   25-Mar-2026 To:   25-Mar-2026,6/5/2026
"Nexus Hubbard Power, LLC",Creatum Solar LLC,260422_001,5/6/2026,6/7/2026,May-26,Bill,Development : Asset Procurement : Asset Procurement Procore,322725,322725,Paid In Full,April Services,5/29/2026
"Nexus Data Centers, LLC",Duvera Consulting LLC,260502,5/6/2026,5/21/2026,May-26,Bill,Corporate : Workforce,33000,33000,Paid In Full,,5/15/2026
"Nexus Land Holdings, LLC",HUBBARD FARM AND RANCH LLC,1010,5/7/2026,5/7/2026,May-26,Bill,Infrastructure : Site Services - Infra,2140,2140,Paid In Full,,5/15/2026
Nexus Data Centers Hubbard LLC,"HDR Engineering, Inc.",1200808012,5/7/2026,6/6/2026,May-26,Bill,Development : Engineering : Engineering Procore,1052433.7,1052433.7,Paid In Full,From: 24-Jan-2026 To: 21-Feb-2026,6/5/2026
"Nexus Data Centers, LLC",wework,2.026E+11,5/7/2026,5/7/2026,May-26,Bill,Corporate : HQ / Office,1770,1770,Paid In Full,Service Retainer - Office 134,5/13/2026
"Nexus Data Centers, LLC",wework,2.026E+11,5/7/2026,5/7/2026,May-26,Bill,Corporate : HQ / Office,1427.42,1427.42,Paid In Full,May Austin Rent,5/13/2026
"Nexus Data Centers, LLC","SPT LNR Property TRS, LLC",35336303-0000,5/7/2026,5/12/2026,May-26,Bill,Corporate : Corporate,20000,20000,Paid In Full,,5/12/2026
"Nexus Data Centers, LLC",Texas Elite Graphics & Signs,41737,5/7/2026,6/6/2026,May-26,Bill,Corporate : Marketing / Branding,112.58,112.58,Paid In Full,,6/5/2026
"Nexus Data Centers, LLC",Texas Elite Graphics & Signs,41738,5/7/2026,6/6/2026,May-26,Bill,Corporate : Marketing / Branding,80.42,80.42,Paid In Full,,6/5/2026
"Nexus Data Centers, LLC",Datamation Technologies,4796,5/7/2026,5/17/2026,May-26,Bill,Corporate : IT : Assets,8834.28,8834.28,Paid In Full,Hardware purchases,5/15/2026
"Nexus Land Holdings, LLC","Roger A. Soape, Inc.",4806,5/7/2026,5/7/2026,May-26,Bill,Infrastructure : Legal - Infra,3000,3000,Paid In Full,April services,5/15/2026
"Nexus Data Centers, LLC",Alice Allen Events,INV-00158,5/7/2026,5/7/2026,May-26,Bill,Corporate : Marketing / Branding,7500,7500,Paid In Full,Investor Day - Event Planning,5/26/2026
Nexus Data Centers Hubbard LLC,Institute of Electrical and Electronics Engineers,SF1-19481613335,5/7/2026,6/6/2026,May-26,Bill,Corporate : IT : Services / License,12124,12124,Paid In Full,"May 11, 2026 - May 10, 2027",6/12/2026
"Nexus Land Holdings, LLC",HUBBARD FARM AND RANCH LLC,12934,5/8/2026,5/8/2026,May-26,Bill,Infrastructure : Site Services - Infra,87.27,87.27,Paid In Full,,5/27/2026
"Nexus Data Centers, LLC",wework,2.026E+11,5/8/2026,5/8/2026,May-26,Bill,Corporate : HQ / Office,11580,11580,Paid In Full,Deposit for WeWork Office 03A139,5/13/2026
"Nexus Data Centers, LLC",wework,2.026E+11,5/8/2026,5/8/2026,May-26,Bill,Corporate : HQ / Office,2593.54,2593.54,Paid In Full,May Austin Rent (new offices),5/13/2026
"Nexus Apex Holdings, LLC",michels construction inc,21265103,5/8/2026,5/27/2026,May-26,Bill,Development : Fiber : Fiber Procore,111978.75,111978.75,Paid In Full,Job 25215103 Fiber Carrier Engagement & OSP Fiber Network Design to Project Apex,5/29/2026
"Nexus Data Centers, LLC",Aspen Imaging LLC,INV129603,5/8/2026,5/8/2026,May-26,Bill,Corporate : Marketing / Branding,705.61,705.61,Paid In Full,,5/15/2026
Nexus Data Centers Hubbard LLC,"CorePhase, LLC",2025-NEX-001-005,5/9/2026,5/25/2026,May-26,Bill,Development : Project Management : Project Management Procore,677503.93,677503.93,Paid In Full,03.28.2026 – 04.30.2026,5/28/2026
Nexus Data Centers Hubbard LLC,"HDR Engineering, Inc.",1200817036,5/11/2026,6/10/2026,May-26,Bill,Development : Engineering : Engineering Procore,1632933.1,1632933.1,Paid In Full,Professional services From: 22-Feb-2026 To: 28-Mar-2026,6/3/2026
"Nexus Data Centers, LLC",American Airlines Center,147363,5/11/2026,5/11/2026,May-26,Bill,Corporate : Corporate,202500,202500,Paid In Full,,5/12/2026
"Nexus Land Holdings, LLC",Uline,207911381,5/11/2026,6/11/2026,May-26,Bill,Infrastructure : Site Services - Infra,1291.12,1291.12,Paid In Full,Office supplies for Infra team,6/5/2026
"Nexus Data Centers, LLC","Ultera, llc",561,5/11/2026,5/26/2026,May-26,Bill,Corporate : Workforce,26000,26000,Paid In Full,,5/26/2026
"Nexus Data Centers, LLC","WHR Group, Inc.",INVND260005-1,5/11/2026,,May-26,Bill,Corporate : Workforce,150000,150000,Paid In Full,,5/12/2026
"Nexus Data Centers, LLC",Matthew C McDaniel,MCM-2026-001,5/11/2026,5/11/2026,May-26,Bill,Corporate : Accounting,21791.79,21791.79,Paid In Full,"April 23, 2026 – May 8, 2026",5/26/2026
"Nexus Data Centers, LLC",EY,US01U002159985,5/11/2026,5/11/2026,May-26,Bill,Corporate : Accounting,50750,0,Open,,
"Nexus Data Centers, LLC",Venara LLC,VEN-002,5/11/2026,5/26/2026,May-26,Bill,Corporate : Workforce,50000,50000,Paid In Full,Recruitment Fee - Insurance Manager,5/26/2026
"Nexus Data Centers, LLC","May Business Co, LLC",02-1004,5/12/2026,5/29/2026,May-26,Bill,Corporate : Workforce,3500,3500,Paid In Full,,5/28/2026
"Nexus Land Holdings, LLC",HUBBARD FARM AND RANCH LLC,1015,5/12/2026,5/12/2026,May-26,Bill,Infrastructure : Site Services - Infra,600,600,Paid In Full,,5/15/2026
Nexus Data Centers Hubbard LLC,"CorePhase, LLC",2026-SOASA-001-01-R1,5/12/2026,6/1/2026,May-26,Bill,Development : Project Management : Project Management Procore,7500000,7500000,Paid In Full,First Installment Payment,6/4/2026
Nexus Data Centers Hubbard LLC,"CorePhase, LLC",2026-SOASA-001-01-R2,5/12/2026,6/30/2026,May-26,Bill,Development : Project Management : Project Management Procore,22500000,0,Pending Approval,Final Payment,
"Nexus Apex Holdings, LLC","Terracon Consultants, Inc.",TQ67078,5/12/2026,6/11/2026,May-26,Bill,Development : Engineering : Engineering Procore,70500,70500,Paid In Full,Period for 3/29/26 - 5/1/26,6/11/2026
"Nexus Apex Holdings, LLC",Tellepsen Builders LP,Tellpsen - 03/2026,5/12/2026,,May-26,Bill,Development : Construction : Construction Procore,2440264.82,2440264.82,Paid In Full,"Mobilization of Batch Plant - LNTP 1/30/26, executed contract 3/25/26",5/12/2026
"Nexus Data Centers, LLC",Rise Furniture Procurement,22,5/13/2026,5/13/2026,May-26,Bill,Corporate : HQ / Office,15000,15000,Paid In Full,Furniture Selection & Specification,5/15/2026
"Nexus Data Centers, LLC",Butler Snow LLP,10526992,5/13/2026,5/14/2026,May-26,Bill,Corporate : Legal,2241,2241,Paid In Full,April Accrual,5/15/2026
"Nexus Apex Holdings, LLC","Orrick, Herrington & Sutcliffe LLP",2370947,5/13/2026,5/13/2026,May-26,Bill,Corporate : Finance,130000,130000,Paid In Full,Professional services related to the $20mm Tranche A upsize,5/15/2026
"Nexus Data Centers, LLC",Marsh USA LLC,8.01028E+11,5/13/2026,6/30/2026,May-26,Bill,Operations : Insurance,120246.5,0,Pending Approval,Cargo Insurance,
"Nexus Data Centers, LLC",Business Branders LLC,9961,5/13/2026,6/12/2026,May-26,Bill,Corporate : Marketing / Branding,2906.37,2906.37,Paid In Full,May - Branded Apparel,6/12/2026
"Nexus Data Centers, LLC",Business Branders LLC,9962,5/13/2026,6/12/2026,May-26,Bill,Corporate : Marketing / Branding,3114.62,3114.62,Paid In Full,May - Branded,6/12/2026
"Nexus Data Centers, LLC",Business Branders LLC,9963,5/13/2026,6/12/2026,May-26,Bill,Corporate : Marketing / Branding,3562.25,3562.25,Paid In Full,May - Branded Apparel,6/12/2026
"Nexus Hubbard Power, LLC","Haynes and Boone, LLP",21763798,5/14/2026,,May-26,Bill,Corporate : Legal,12748,12748,Paid In Full,Texas Commission on Environmental Quality - Air Permit,6/12/2026
Nexus Data Centers Hubbard LLC,EUTAW Construction Company Inc.,26011-04,5/14/2026,6/13/2026,May-26,Bill,Development : Construction : Construction Procore,14554111.51,0,Open,Work completed through 4/30/26,
Nexus Data Centers Hubbard LLC,"Bluebeam, Inc.",2843933,5/14/2026,6/13/2026,May-26,Bill,Corporate : IT : Services / License,1407.12,1407.12,Paid In Full,"Licenses – Sahib Ali, Amro Alhourani, John Lee, Nick Jones",6/12/2026
"Nexus Data Centers, LLC",Texas Elite Graphics & Signs,41772,5/14/2026,6/13/2026,May-26,Bill,Corporate : Marketing / Branding,151.55,151.55,Paid In Full,May - Marketing Signage,6/12/2026
"Nexus Apex Holdings, LLC",Promoveo Group LLC,515,5/15/2026,5/15/2026,May-26,Bill,Development : Consulting : Consulting Gen,37350,37350,Paid In Full,,6/5/2026
"Nexus Land Holdings, LLC","1212 Property Services, LLC",1006,5/15/2026,5/30/2026,May-26,Bill,Infrastructure : Site Services - Infra,1751.5,1751.5,Paid In Full,May services,5/29/2026
"Nexus Apex Holdings, LLC",Texas Mutual Insurance,1008093824,5/15/2026,6/6/2026,May-26,Bill,Development : Insurance,28306,28306,Paid In Full,"Initial Premium, Installment Down Payment",6/5/2026
"Nexus Data Centers, LLC",Ruca LLC,3161,5/15/2026,6/14/2026,May-26,Bill,Corporate : Marketing / Branding,12210,12210,Paid In Full,Website Design and Development (Pre-bill),6/12/2026
"Nexus Hubbard Power, LLC","Industrial Project Innovation, LLC",Nexus-009,5/15/2026,6/14/2026,May-26,Bill,Development : Project Management : Project Management Procore,1117347.87,1117347.87,Paid In Full,April 2026 - Integration Support,6/12/2026
"Nexus Apex Holdings, LLC","EXP Energy Services, Inc.",4202612,5/18/2026,5/18/2026,May-26,Bill,Development : Regulatory : Regulatory Procore,10075.25,10075.25,Paid In Full,"March 28 - April 24, received in May",5/29/2026
Nexus Data Centers Hubbard LLC,"HDR Engineering, Inc.",1200817791,5/18/2026,6/17/2026,May-26,Bill,Development : Engineering : Engineering Procore,207454.67,207454.67,Paid In Full,22-FEB-2026 To: 28-MAR-2026 (Inv date = Procore Submission),6/12/2026
"Nexus Apex Holdings, LLC",ERM,399902,5/18/2026,6/18/2026,May-26,Bill,Corporate : Finance,61847.8,0,Open,"Professional Services rendered through May 02, 2026",
"Nexus Data Centers, LLC",Texas Elite Graphics & Signs,41775,5/18/2026,6/17/2026,May-26,Bill,Corporate : Marketing / Branding,6711.5,6711.5,Paid In Full,Marketing Signage,6/12/2026
"Nexus Apex Holdings, LLC",Tellepsen Builders LP,50684,5/18/2026,6/8/2026,May-26,Bill,Development : Construction : Construction Procore,4644520.12,4644520.12,Paid In Full,"April Invoice - Mobilization of Batch Plant - LNTP 1/30/26, executed contract 3/25/26",6/5/2026
"Nexus Apex Holdings, LLC","UMB Bank, N.A.",1049016,5/19/2026,5/19/2026,May-26,Bill,Corporate : Finance,6500,6500,Paid In Full,"April 1, 2026 through March 31, 2027",5/29/2026
"Nexus Data Centers, LLC","UMB Bank, N.A.",1049016NA,5/19/2026,5/19/2026,May-26,Bill,Corporate : Finance,6500,0,Rejected,"April 1, 2026 through March 31, 2027",
"Nexus Apex Holdings, LLC",HUBBARD FARM AND RANCH LLC,13301,5/19/2026,6/6/2026,May-26,Bill,Infrastructure : Site Services - Infra,2165,2165,Paid In Full,NEXUS ALPHA BORROWER LLC,5/27/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,26100,5/19/2026,6/19/2026,May-26,Bill,Development : Asset Procurement : Asset Procurement Procore,9533524.5,0,Open,May invoice - 30% progress payment,
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,26101,5/19/2026,5/29/2026,May-26,Bill,Development : Asset Procurement : Asset Procurement Procore,6510829.51,6510829.51,Paid In Full,IES - Long Lead Electrical - HB2 Bus,5/28/2026
"Nexus Data Centers, LLC","SPT LNR Property TRS, LLC",35336303-9030,5/19/2026,5/19/2026,May-26,Bill,Corporate : Corporate,20000,20000,Paid In Full,,5/20/2026
"Nexus Hubbard Power, LLC",Everllence USA INC,6803644,5/19/2026,6/2/2026,May-26,Bill,Development : Asset Procurement : Asset Procurement Procore,458896,458896,Paid In Full,Equipment Supply Contract  5306425- body of contract (9/26/2025) - 13 units and change order,5/29/2026
"Nexus Land Holdings, LLC",Luisa V Savage,#6,5/20/2026,5/22/2026,May-26,Bill,Infrastructure : Site Services - Infra,1668.94,1668.94,Paid In Full,May services,5/27/2026
"Nexus Data Centers, LLC",Rise Furniture Procurement,23,5/20/2026,5/20/2026,May-26,Bill,Corporate : HQ / Office,330000,330000,Paid In Full,Furniture Purchasing Services,5/26/2026
"Nexus Land Holdings, LLC",HUBBARD FARM AND RANCH LLC,1020,5/20/2026,5/20/2026,May-26,Bill,Infrastructure : Site Services - Infra,1080,1080,Paid In Full,May-26,5/29/2026
"Nexus Apex Holdings, LLC",WR Utilities & Excavation,1113,5/20/2026,5/22/2026,May-26,Bill,Operations : Utilities : Utilities Procore,500000,500000,Paid In Full,Mobilization Payment for Construction of Berm for Site,5/22/2026
"Nexus Land Holdings, LLC",HUBBARD FARM AND RANCH LLC,13321,5/20/2026,5/20/2026,May-26,Bill,Infrastructure : Site Services - Infra,60.04,60.04,Paid In Full,,5/27/2026
"Nexus Land Holdings, LLC",HUBBARD FARM AND RANCH LLC,13323,5/20/2026,5/20/2026,May-26,Bill,Infrastructure : Site Services - Infra,16.23,16.23,Paid In Full,,5/27/2026
"Nexus Land Holdings, LLC",HUBBARD FARM AND RANCH LLC,13325,5/20/2026,5/20/2026,May-26,Bill,Infrastructure : Site Services - Infra,43.5,43.5,Paid In Full,,5/27/2026
"Nexus Data Centers, LLC",PwC US Tax LLP,208A 187860,5/20/2026,6/19/2026,May-26,Bill,Corporate : Accounting,45583,0,Open,"April 1, 2026 through April 30, 2026",
"Nexus Data Centers, LLC",Datamation Technologies,4812,5/20/2026,5/30/2026,May-26,Bill,Corporate : IT : Assets,4163.3,4163.3,Paid In Full,May,5/28/2026
"Nexus Land Holdings, LLC","Roger A. Soape, Inc.",4862rev,5/20/2026,5/20/2026,May-26,Bill,Infrastructure : Legal - Infra,10052.68,10052.68,Paid In Full,61430 General & Administrative : Personnel & SG&A : Contractors and Professional Services : Professional Fees - Other,5/29/2026
Nexus Data Centers Hubbard LLC,W.G. Yates & Sons Construction Company,5302601-02,5/20/2026,6/4/2026,May-26,Bill,Development : Construction : Construction Procore,18209114.82,18209114.82,Paid In Full,April Services,5/29/2026
"Nexus Data Centers, LLC",Business Branders LLC,9975,5/20/2026,6/19/2026,May-26,Bill,Corporate : Marketing / Branding,2421.71,0,Open,Various branded items - May,
"Nexus Apex Holdings, LLC",EquipmentShare.com Inc,EQS INV 189392-04-26-08,5/20/2026,6/19/2026,May-26,Bill,Development : Asset Procurement : Asset Procurement Procore,407578.23,0,Open,Equipment Rentals - March-May,
"Nexus Data Centers, LLC",Duvera Consulting LLC,260504,5/21/2026,6/5/2026,May-26,Bill,Corporate : Workforce,66000,66000,Paid In Full,Recruiting fees for start up staffing,6/5/2026
"Nexus Hubbard Power, LLC",Creatum Solar LLC,260521_001,5/21/2026,6/20/2026,May-26,Bill,Development : Asset Procurement : Asset Procurement Procore,185202.5,0,Open,"Professional Services Agreement Contract Signed on February, 11th 2026",
"Nexus Data Centers, LLC",Arcus Advisors LLC,3388,5/21/2026,5/21/2026,May-26,Bill,Corporate : Accounting,57700,0,Pending Approval,Consulting General and ERP April 6th  to Dec,
"Nexus Apex Holdings, LLC",Black & Veatch,6717676,5/21/2026,6/20/2026,May-26,Bill,Corporate : Finance,46000,0,Open,,
"Nexus Apex Holdings, LLC",EquipmentShare.com Inc,6937902-002,5/21/2026,6/20/2026,May-26,Bill,Development : Asset Procurement : Asset Procurement Procore,268474.07,0,Open,"First down payment invoice for BZI Triple Wide 6937902,  Medical Double Wide 6937922,  Safety Single  Wide 6937940 to start production of units",
Nexus Data Centers Hubbard LLC,Building Zones Industries (BZI),BZI-5040-1 R1,5/21/2026,6/11/2026,May-26,Bill,Development : Asset Procurement : Asset Procurement Procore,1244875,1244875,Paid In Full,PERIOD: 03/01/26 - 03/31/26,6/5/2026
"Nexus Apex Holdings, LLC",Tinsley Drilling & Company Inc,G702-TIN-2,5/21/2026,6/20/2026,May-26,Bill,Development : Construction : Construction Procore,2510450,0,Open,DRILLING PHASE INVOICE,
"Nexus Hubbard Power, LLC","Industrial Project Innovation, LLC",Nexus-010,5/21/2026,6/20/2026,May-26,Bill,Development : Project Management : Project Management Procore,1100000,0,Open,May 2026 - Pre-Bill,
"Nexus Apex Holdings, LLC",Audio Video Solutions Texas LLC,1112,5/22/2026,5/22/2026,May-26,Bill,Development : Asset Procurement : Asset Procurement Procore,13449.99,13449.99,Paid In Full,75% of Proposal Total - Due Upon Proposal Acceptance,6/5/2026
"Nexus Land Holdings, LLC",Wisdom Cout LLC DBA American Craftsmen,2313,5/22/2026,5/22/2026,May-26,Bill,Infrastructure : Residential Improvements - Infra,6021.8,6021.8,Paid In Full,labor and materials,6/12/2026
"Nexus Land Holdings, LLC",Wisdom Cout LLC DBA American Craftsmen,2314,5/22/2026,5/22/2026,May-26,Bill,Infrastructure : Residential Improvements - Infra,3252.25,3252.25,Paid In Full,Supply band install,6/12/2026
"Nexus Hubbard Power, LLC",Creatum Solar LLC,260522_002,5/22/2026,6/21/2026,May-26,Bill,Development : Asset Procurement : Asset Procurement Procore,900000,0,Open,30% Milestone payment for Control Building,
"Nexus Data Centers, LLC",Texas Elite Graphics & Signs,41821,5/22/2026,6/21/2026,May-26,Bill,Corporate : Marketing / Branding,649.5,0,Open,May,
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,26149,5/25/2026,6/24/2026,May-26,Bill,Development : Asset Procurement : Asset Procurement Procore,16854247.08,0,Open,"Change Order covering PO’s 1006, 1007, 1010, and 1013",
"Nexus Land Holdings, LLC",Texas Golf Karts,40412,5/25/2026,6/24/2026,May-26,Bill,Corporate : Marketing / Branding,1614.38,0,Open,"HUBBARD RODEO  MAY 22ND-24TH, 2026",
"Nexus Land Holdings, LLC",Love and Thunder Apiary LLC,10,5/26/2026,5/26/2026,May-26,Bill,Infrastructure : Site Services - Infra,562.9,562.9,Paid In Full,May service,5/29/2026
"Nexus Land Holdings, LLC",Love and Thunder Apiary LLC,11,5/26/2026,6/10/2026,May-26,Bill,Infrastructure : Site Services - Infra,3474.82,3474.82,Paid In Full,"Service date May 8, 2026",6/5/2026
"Nexus Data Centers, LLC",Marcela M Resenos,2,5/26/2026,6/15/2026,May-26,Bill,Corporate : Corporate,10500,10500,Paid In Full,May,6/12/2026
"Nexus Data Centers, LLC",Holland & Knight LLP,33951605,5/26/2026,5/26/2026,May-26,Bill,Corporate : Legal,1462.5,1462.5,Paid In Full,April services,5/28/2026
"Nexus Data Centers, LLC","Ultera, llc",562,5/26/2026,6/10/2026,May-26,Bill,Corporate : Workforce,41000,41000,Paid In Full,Recruiting fees for start-up staffing,6/5/2026
"Nexus Data Centers, LLC",Venara LLC,VEN-003,5/26/2026,6/10/2026,May-26,Bill,Corporate : Workforce,55000,55000,Paid In Full,May,6/5/2026
"Nexus Data Centers, LLC",wework,2.026E+11,5/27/2026,5/27/2026,May-26,Bill,Corporate : HQ / Office,3170,3170,Paid In Full,Member Service Retainer for Office 03A144,5/29/2026
"Nexus Data Centers, LLC",wework,2.026E+11,5/27/2026,5/27/2026,May-26,Bill,Corporate : HQ / Office,409.03,409.03,Paid In Full,Membership fee  5/28 - 5/31,5/29/2026
"Nexus Apex Holdings, LLC",Total Office Solutions,20742,5/27/2026,5/27/2026,May-26,Bill,Development : Project Management : Project Management Procore,402606.65,402606.65,Paid In Full,50% deposit for site office furniture to be ordered,6/4/2026
Nexus Data Centers Hubbard LLC,Industrial Electrical Supply,26180,5/27/2026,6/26/2026,May-26,Bill,Development : Asset Procurement : Asset Procurement Procore,3989888.95,0,Open,Progress Payment,
"Nexus Apex Holdings, LLC",Global Foodcraft,27211,5/27/2026,6/27/2026,May-26,Bill,Corporate : Corporate,102695.95,0,Pending Approval,Safety Lunch,
"Nexus Data Centers, LLC",Datamation Technologies,4813,5/27/2026,6/6/2026,May-26,Bill,Corporate : IT : Assets,25820.08,25820.08,Paid In Full,May,6/5/2026
"Nexus Data Centers, LLC",NextWave Partners USA Inc,CINV2661-000011,5/27/2026,6/26/2026,May-26,Bill,Corporate : Workforce,46000,0,Open,May invoice - recruiting fees,
"Nexus Data Centers, LLC",NextWave Partners USA Inc,CINV2661-000012,5/27/2026,6/26/2026,May-26,Bill,Corporate : Workforce,40000,0,Open,May invoice - recruiting fees,
"Nexus Hubbard Power, LLC",Source Blue LLC,SBL-2026-03,5/28/2026,6/27/2026,May-26,Bill,Development : Project Management : Project Management Procore,95870077.16,0,Pending Approval,May Billing,
"Nexus Data Centers, LLC",Robert Havlick,2026-05-001,5/29/2026,6/13/2026,May-26,Bill,Corporate : Workforce,14674.54,0,Open,5/11/26 - 5/31/26,
"Nexus Apex Holdings, LLC",Global Foodcraft,27251,5/29/2026,6/29/2026,May-26,Bill,Development : Site Services : Site Services Gen,22189.21,0,Pending Approval,Tent Rental Extension,
"Nexus Data Centers, LLC",Ruca LLC,3179,5/29/2026,6/28/2026,May-26,Bill,Corporate : Marketing / Branding,5000,0,Open,Website Design and Developmen,
"Nexus Apex Holdings, LLC",Commonwealth Land Title Insurance Company,400991NA,5/29/2026,5/29/2026,May-26,Bill,Corporate : Finance,1233504.6,1233504.6,Paid In Full,Loan Policy Coverage docs,6/1/2026
